0.01000000, 0.01500000, 0.02000000, 0.02500000, 0.03000000, 0.03500000, 0.04000000, 0.04500000, 0.05000000, 0.05500000, 0.06000000, 0.06500000, 0.07000000, 0.07500000, 0.08000000, 0.08500000, 0.09000000, 0.09500000, 0.10000000, 0.12000000, 0.14000000, 0.16000000, 0.18000000, 0.20000000, 0.22000000, 0.24000000, 0.26000000, 0.28000000, 0.30000000, 0.32000000, 0.34000000, 0.36000000, 0.38000000, 0.40000000, 0.42000000, 0.44000000, 0.46000000, 0.48000000, 0.50000000, 0.52000000, 0.54000000, 0.56000000, 0.58000000, 0.60000000, 0.62000000, 0.64000000, 0.66000000, 0.68000000, 0.70000000, 0.72000000, 0.74000000, 0.76000000, 0.78000000, 0.80000000, 0.82000000, 0.84000000, 0.86000000, 0.88000000, 0.90000000, 0.92000000, 0.94000000, 0.96000000, 0.98000000, 1.00000000
6.00932654, 2.52717915, 1.34024882, 0.80682768, 0.52836590, 0.36505629, 0.26313651, 0.19600962, 0.14968515, 0.11674321, 0.09293794, 0.07554170, 0.06266256, 0.05296948, 0.04554782, 0.03978936, 0.03529846, 0.03181624, 0.02916526, 0.02453632, 0.02546545, 0.02856828, 0.03242635, 0.03650947, 0.04040116, 0.04364320, 0.04585038, 0.04681186, 0.04650282, 0.04503615, 0.04260043, 0.03941161, 0.03568534, 0.03162523, 0.02741924, 0.02323791, 0.01923134, 0.01552442, 0.01221167, 0.00935325, 0.00697372, 0.00506413, 0.00358741, 0.00248622, 0.00169209, 0.00113449, 0.00074856, 0.00048069, 0.00029128, 0.00015481, 0.00005760, -0.00000617, -0.00003889, -0.00004365, -0.00002699, 0.00000051, 0.00002586, 0.00003736, 0.00002936, 0.00000624, -0.00001698, -0.00002110, -0.00000081, 0.00000000
3.22676217, 1.32843512, 0.69518934, 0.41758877, 0.27620220, 0.19656840, 0.14736685, 0.11532388, 0.09406643, 0.07968939, 0.06959868, 0.06217473, 0.05649303, 0.05205088, 0.04856058, 0.04582698, 0.04369111, 0.04201272, 0.04066999, 0.03702443, 0.03459479, 0.03316457, 0.03261221, 0.03251631, 0.03252937, 0.03250408, 0.03239269, 0.03213561, 0.03162864, 0.03075273, 0.02942094, 0.02761044, 0.02536913, 0.02280114, 0.02004169, 0.01723105, 0.01449422, 0.01192890, 0.00960154, 0.00754937, 0.00578593, 0.00430769, 0.00310005, 0.00214179, 0.00140784, 0.00087063, 0.00050058, 0.00026644, 0.00013597, 0.00007728, 0.00006074, 0.00006133, 0.00006089, 0.00004960, 0.00002636, -0.00000265, -0.00002710, -0.00003705, -0.00002802, -0.00000499, 0.00001723, 0.00002035, 0.00000011, 0.00000000
7.66938509, 3.28413856, 1.75929593, 1.06038452, 0.68869210, 0.46560894, 0.32556774, 0.23297296, 0.16824635, 0.12165835, 0.08806729, 0.06406825, 0.04701367, 0.03483370, 0.02602189, 0.01957505, 0.01487661, 0.01156523, 0.00942265, 0.00964488, 0.01740132, 0.02596219, 0.03286221, 0.03804434, 0.04167015, 0.04356244, 0.04351606, 0.04160785, 0.03823462, 0.03396439, 0.02935372, 0.02482591, 0.02063251, 0.01687768, 0.01357149, 0.01068371, 0.00818154, 0.00604682, 0.00427583, 0.00286909, 0.00181852, 0.00109777, 0.00065885, 0.00043570, 0.00035302, 0.00033778, 0.00033044, 0.00029304, 0.00021254, 0.00009874, -0.00002264, -0.00012018, -0.00016782, -0.00015413, -0.00008737, 0.00000559, 0.00008704, 0.00012189, 0.00009378, 0.00001809, -0.00005631, -0.00006809, -0.00000158, 0.00000000
6.54743685, 2.90757307, 1.63061037, 1.03937780, 0.72155879, 0.52593671, 0.40256824, 0.31976927, 0.25917717, 0.21284117, 0.17739202, 0.15053164, 0.13005213, 0.11395235, 0.10069452, 0.08928631, 0.07919836, 0.07021009, 0.06225933, 0.04019854, 0.02885167, 0.02102238, 0.01430625, 0.00931246, 0.00639388, 0.00489602, 0.00384687, 0.00262689, 0.00114091, -0.00036625, -0.00158215, -0.00231582, -0.00255751, -0.00243949, -0.00215329, -0.00187028, -0.00169241, -0.00163952, -0.00166615, -0.00169437, -0.00164874, -0.00148309, -0.00119351, -0.00081672, -0.00041693, -0.00006627, 0.00017540, 0.00027607, 0.00023916, 0.00010155, -0.00007709, -0.00023095, -0.00030664, -0.00027896, -0.00015930, 0.00000652, 0.00015233, 0.00021582, 0.00016737, 0.00003366, -0.00009878, -0.00012061, -0.00000309, 0.00000000
3.09278812, 1.28979510, 0.67378992, 0.39709026, 0.25330938, 0.16889019, 0.11722754, 0.08392767, 0.06113278, 0.04502744, 0.03365892, 0.02575243, 0.02031163, 0.01655446, 0.01391599, 0.01202910, 0.01067923, 0.00975146, 0.00918478, 0.00976166, 0.01282881, 0.01606157, 0.01865331, 0.02066488, 0.02216435, 0.02303253, 0.02312296, 0.02241153, 0.02102244, 0.01916889, 0.01707541, 0.01492368, 0.01283270, 0.01086543, 0.00904804, 0.00738987, 0.00589740, 0.00458004, 0.00344933, 0.00251434, 0.00177643, 0.00122562, 0.00083988, 0.00058740, 0.00043108, 0.00033416, 0.00026555, 0.00020368, 0.00013821, 0.00006935, 0.00000485, -0.00004431, -0.00006880, -0.00006499, -0.00003728, 0.00000228, 0.00003719, 0.00005224, 0.00004028, 0.00000787, -0.00002406, -0.00002918, -0.00000071, 0.00000000
7.64153692, 3.31801502, 1.81076907, 1.11671109, 0.74529959, 0.51957541, 0.37667794, 0.28092141, 0.21233560, 0.16140739, 0.12340960, 0.09519452, 0.07416743, 0.05820124, 0.04571692, 0.03567196, 0.02745194, 0.02072641, 0.01531902, 0.00456443, 0.00474265, 0.00828974, 0.01223764, 0.01636147, 0.02054600, 0.02414649, 0.02644896, 0.02712055, 0.02629441, 0.02439681, 0.02191692, 0.01924555, 0.01661615, 0.01412433, 0.01178431, 0.00958644, 0.00753541, 0.00566339, 0.00402289, 0.00266836, 0.00163638, 0.00093145, 0.00052140, 0.00034257, 0.00031258, 0.00034679, 0.00037440, 0.00035036, 0.00026074, 0.00012077, -0.00003388, -0.00016024, -0.00022260, -0.00020480, -0.00011694, 0.00000593, 0.00011406, 0.00016090, 0.00012444, 0.00002468, -0.00007388, -0.00008991, -0.00000224, 0.00000000
7.09373177, 2.99175727, 1.59658905, 0.97090286, 0.64456159, 0.45392491, 0.33395712, 0.25423861, 0.19916914, 0.16000583, 0.13144393, 0.11011147, 0.09382599, 0.08116393, 0.07118536, 0.06325442, 0.05692536, 0.05187269, 0.04784980, 0.03876624, 0.03627399, 0.03726120, 0.04022819, 0.04417048, 0.04829584, 0.05199094, 0.05481189, 0.05646562, 0.05679241, 0.05575368, 0.05342052, 0.04995749, 0.04559965, 0.04062440, 0.03532189, 0.02996785, 0.02480204, 0.02001406, 0.01573665, 0.01204590, 0.00896675, 0.00648200, 0.00454315, 0.00308156, 0.00201860, 0.00127424, 0.00077351, 0.00045072, 0.00025175, 0.00013460, 0.00006860, 0.00003279, 0.00001392, 0.00000426, -0.00000034, -0.00000199, -0.00000184, -0.00000078, 0.00000040, 0.00000107, 0.00000090, 0.00000011, -0.00000054, 0.00000000
5.21523818, 2.24088437, 1.22152656, 0.76016181, 0.51729720, 0.37264760, 0.28146141, 0.22052682, 0.17734643, 0.14557775, 0.12179134, 0.10377229, 0.08988986, 0.07892517, 0.07001331, 0.06258284, 0.05627987, 0.05089279, 0.04629107, 0.03406272, 0.02826791, 0.02547823, 0.02430362, 0.02439854, 0.02542982, 0.02685703, 0.02812612, 0.02885451, 0.02887796, 0.02819866, 0.02690651, 0.02511866, 0.02294984, 0.02050637, 0.01789123, 0.01520939, 0.01256806, 0.01007104, 0.00780929, 0.00585123, 0.00423559, 0.00296880, 0.00202741, 0.00136480, 0.00092074, 0.00063179, 0.00044065, 0.00030302, 0.00019097, 0.00009270, 0.00000903, -0.00005225, -0.00008276, -0.00007927, -0.00004706, -0.00000024, 0.00004177, 0.00006075, 0.00004782, 0.00001024, -0.00002754, -0.00003423, -0.00000119, 0.00000000
9.55480823, 4.26270263, 2.39539600, 1.52417976, 1.05166542, 0.75884830, 0.57166452, 0.44451167, 0.35110858, 0.27966848, 0.22487426, 0.18310859, 0.15106876, 0.12585098, 0.10523967, 0.08778501, 0.07267655, 0.05953086, 0.04818850, 0.01886962, 0.00700273, 0.00163272, -0.00134781, -0.00181087, 0.00023837, 0.00363289, 0.00690647, 0.00913832, 0.01015702, 0.01028682, 0.00998321, 0.00957781, 0.00919140, 0.00877515, 0.00820863, 0.00739409, 0.00631313, 0.00503766, 0.00370480, 0.00247297, 0.00147712, 0.00079590, 0.00043795, 0.00034743, 0.00042482, 0.00055573, 0.00064004, 0.00061450, 0.00046417, 0.00022079, -0.00005071, -0.00027396, -0.00038581, -0.00035739, -0.00020580, 0.00000809, 0.00019740, 0.00028044, 0.00021808, 0.00004456, -0.00012786, -0.00015679, -0.00000431, 0.00000000
