0.01000000, 0.05000000, 0.10000000, 0.15000000, 0.20000000, 0.25000000, 0.30000000, 0.35000000, 0.40000000, 0.45000000, 0.50000000, 0.55000000, 0.60000000, 0.65000000, 0.70000000, 0.75000000, 0.80000000, 0.85000000, 0.90000000, 0.95000000, 1.00000000, 1.05000000, 1.10000000, 1.15000000, 1.20000000, 1.25000000, 1.30000000, 1.35000000, 1.40000000, 1.45000000, 1.50000000, 1.55000000, 1.60000000, 1.65000000, 1.70000000, 1.75000000, 1.80000000, 1.85000000, 1.90000000, 1.95000000, 2.00000000, 2.05000000, 2.10000000, 2.15000000, 2.20000000, 2.25000000, 2.30000000, 2.35000000, 2.40000000, 2.45000000, 2.50000000, 2.55000000, 2.60000000, 2.65000000, 2.70000000, 2.75000000, 2.80000000, 2.85000000, 2.90000000, 2.95000000, 3.00000000, 3.05000000
1.08931269, 1.29806402, 1.41790938, 1.50027754, 1.56568765, 1.62116031, 1.67004421, 1.71418148, 1.75471938, 1.79243354, 1.82786789, 1.86141613, 1.89337188, 1.92396013, 1.95335737, 1.98170469, 2.00911650, 2.03568658, 2.06149240, 2.08659819, 2.11105732, 2.13491412, 2.15820528, 2.18096104, 2.20320610, 2.22496043, 2.24623988, 2.26705681, 2.28742052, 2.30733767, 2.32681263, 2.34584782, 2.36444393, 2.38260021, 2.40031463, 2.41758411, 2.43440463, 2.45077140, 2.46667898, 2.48212140, 2.49709224, 2.55214830, 2.59889412, 2.63681887, 2.66571956, 2.68533938, 2.69549447, 2.69620264, 2.68773284, 2.67059197, 2.64547840, 2.61322390, 2.57473706, 2.53095423, 2.48280047, 2.43116041
1.06463961, 1.26886512, 1.38620060, 1.46686607, 1.53092002, 1.58522503, 1.63305464, 1.67620827, 1.71580635, 1.75260627, 1.78713892, 1.81978820, 1.85084011, 1.88051359, 1.90898018, 1.93637682, 1.96281445, 1.98838387, 2.01315994, 2.03720464, 2.06056934, 2.08329661, 2.10542156, 2.12697305, 2.14797451, 2.16844482, 2.18839886, 2.20784812, 2.22680115, 2.24526396, 2.26324040, 2.28073242, 2.29774038, 2.31426326, 2.33029889, 2.34584408, 2.36089484, 2.37544650, 2.38949380, 2.40303105, 2.41605219, 2.46287405, 2.50072834, 2.52917065, 2.54807796, 2.55729245, 2.55674448, 2.54657432, 2.52717442, 2.49917027, 2.46336920, 2.42069933, 2.37215106, 2.31872738, 2.26140495, 2.20110565
1.11998668, 1.33645348, 1.46102651, 1.54679396, 1.61500435, 1.67293186, 1.72404819, 1.77026305, 1.81276644, 1.85236349, 1.88961915, 1.92494247, 1.95863867, 1.99094179, 2.02203553, 2.05206687, 2.08115512, 2.10939815, 2.13687691, 2.16365858, 2.18979905, 2.21534479, 2.24033431, 2.26479938, 2.28876599, 2.31225517, 2.33528365, 2.35786447, 2.38000747, 2.40171969, 2.42300578, 2.44386826, 2.46430789, 2.48432383, 2.50391390, 2.52307474, 2.54180203, 2.56009058, 2.57793446, 2.59532717, 2.61226169, 2.67529401, 2.73015465, 2.77626574, 2.81336658, 2.84112742, 2.85928508, 2.86778275, 2.86682641, 2.85687460, 2.83859223, 2.81279138, 2.78037285, 2.74227506, 2.69943304, 2.65274738
1.10417900, 1.31361342, 1.43356347, 1.51589349, 1.58122063, 1.63659616, 1.68538210, 1.72942847, 1.76988728, 1.80753706, 1.84292385, 1.87644304, 1.90838963, 1.93898984, 1.96842120, 1.99682568, 2.02431850, 2.05099416, 2.07693080, 2.10219327, 2.12683554, 2.15090252, 2.17443147, 2.19745317, 2.21999286, 2.24207105, 2.26370413, 2.28490495, 2.30568332, 2.32604638, 2.34599897, 2.36554394, 2.38468242, 2.40341404, 2.42173716, 2.43964901, 2.45714588, 2.47422326, 2.49087595, 2.50709817, 2.52288364, 2.58154810, 2.63246485, 2.67511159, 2.70925802, 2.73461055, 2.75093752, 2.75819812, 2.75659417, 2.74656060, 2.72872262, 2.70384101, 2.67275805, 2.63635028, 2.59549059, 2.55101956
1.10003971, 1.30986168, 1.43004787, 1.51241209, 1.57758746, 1.63262777, 1.68089411, 1.72423337, 1.76379402, 1.80035099, 1.83444666, 1.86647270, 1.89672051, 1.92541276, 1.95272363, 1.97879191, 2.00372982, 2.02762906, 2.05056514, 2.07260050, 2.09378688, 2.11416717, 2.13377686, 2.15264517, 2.17079602, 2.18824883, 2.20501921, 2.22111947, 2.23655919, 2.25134554, 2.26548374, 2.27897731, 2.29182837, 2.30403789, 2.31560586, 2.32653155, 2.33681358, 2.34645015, 2.35543910, 2.36377805, 2.37146450, 2.39566104, 2.40906146, 2.41155920, 2.40339471, 2.38481379, 2.35617415, 2.31804312, 2.27121746, 2.21668685, 2.15557122, 2.08905353, 2.01831965, 1.94451045, 1.86868707, 1.79180831
1.07590532, 1.28254515, 1.40125649, 1.48287792, 1.54771207, 1.60270597, 1.65117391, 1.69493880, 1.73513598, 1.77253316, 1.80766874, 1.84093232, 1.87261440, 1.90293754, 1.93207632, 1.96017021, 1.98733234, 2.01365541, 2.03921596, 2.06407742, 2.08829248, 2.11190487, 2.13495076, 2.15745991, 2.17945661, 2.20096044, 2.22198694, 2.24254816, 2.26265311, 2.28230822, 2.30151764, 2.32028357, 2.33860654, 2.35648564, 2.37391871, 2.39090252, 2.40743297, 2.42350517, 2.43911361, 2.45425228, 2.46891469, 2.52268997, 2.56808077, 2.60458049, 2.63199361, 2.65007360, 2.65864944, 2.65775377, 2.64767136, 2.62892512, 2.60222869, 2.56842788, 2.52844353, 2.48322232, 2.43369750, 2.38075987
1.09769133, 1.30698499, 1.42703490, 1.50952657, 1.57504637, 1.63063742, 1.67965919, 1.72396062, 1.76469337, 1.80263608, 1.83833510, 1.87218614, 1.90448461, 1.93545711, 1.96528159, 1.99410044, 2.02202933, 2.04916318, 2.07558054, 2.10134670, 2.12651600, 2.15113374, 2.17523752, 2.19885845, 2.22202208, 2.24474918, 2.26705639, 2.28895680, 2.31046039, 2.33157445, 2.35230398, 2.37265192, 2.39261948, 2.41220632, 2.43141082, 2.45023019, 2.46866068, 2.48669770, 2.50433592, 2.52156942, 2.53839177, 2.60145537, 2.65715381, 2.70493571, 2.74453955, 2.77563062, 2.79792896, 2.81134245, 2.81602222, 2.81235562, 2.80092503, 2.78245399, 2.75775350, 2.72767480, 2.69307121, 2.65476905
1.10621684, 1.31733248, 1.43842568, 1.52162122, 1.58768427, 1.64371916, 1.69311463, 1.73773529, 1.77874255, 1.81692160, 1.85282329, 1.88684647, 1.91928877, 1.95037841, 1.98029452, 2.00918040, 2.03715235, 2.06430579, 2.09071961, 2.11645930, 2.14157937, 2.16612516, 2.19013428, 2.21363777, 2.23666110, 2.25922488, 2.28134561, 2.30303617, 2.32430636, 2.34516325, 2.36561161, 2.38565417, 2.40529190, 2.42452426, 2.44334941, 2.46176435, 2.47976515, 2.49734704, 2.51450453, 2.53123157, 2.54752160, 2.60819595, 2.66108611, 2.70564562, 2.74162750, 2.76871787, 2.78666487, 2.79541174, 2.79515073, 2.78631379, 2.76952907, 2.74556492, 2.71527452, 2.67954754, 2.63927109, 2.59530038
1.11662663, 1.33008480, 1.45263924, 1.53690001, 1.60384993, 1.66066808, 1.71077942, 1.75606853, 1.79770926, 1.83649536, 1.87298371, 1.90757757, 1.94057785, 1.97221535, 2.00267123, 2.03209041, 2.06059057, 2.08826826, 2.11520332, 2.14146207, 2.16709969, 2.19216211, 2.21668742, 2.24070710, 2.26424694, 2.28732787, 2.30996660, 2.33217622, 2.35396665, 2.37534509, 2.39631637, 2.41688327, 2.43704677, 2.45680634, 2.47616007, 2.49510494, 2.51363693, 2.53175118, 2.54944211, 2.56670352, 2.58352871, 2.64634903, 2.70138030, 2.74806086, 2.78613159, 2.81526301, 2.83518648, 2.84583012, 2.84737436, 2.84024328, 2.82506098, 2.80259523, 2.77370149, 2.73927394, 2.70020593, 2.65736009
1.11662663, 1.33008480, 1.45263924, 1.53690001, 1.60384993, 1.66066808, 1.71077942, 1.75606853, 1.79770926, 1.83649536, 1.87298371, 1.90757757, 1.94057785, 1.97221535, 2.00267123, 2.03209041, 2.06059057, 2.08826826, 2.11520332, 2.14146207, 2.16709969, 2.19216211, 2.21668742, 2.24070710, 2.26424694, 2.28732787, 2.30996660, 2.33217622, 2.35396665, 2.37534509, 2.39631637, 2.41688327, 2.43704677, 2.45680634, 2.47616007, 2.49510494, 2.51363693, 2.53175118, 2.54944211, 2.56670352, 2.58352871, 2.64634903, 2.70138030, 2.74806086, 2.78613159, 2.81526301, 2.83518648, 2.84583012, 2.84737436, 2.84024328, 2.82506098, 2.80259523, 2.77370149, 2.73927394, 2.70020593, 2.65736009
