1.10000000, 1.35892541, 1.68489319, 2.09526231, 2.61188643, 3.26227766, 4.08107171, 5.11187234, 6.40957344, 8.04328235, 10.10000000, 12.68925412, 15.94893192, 20.05262315, 25.21886432, 31.72277660, 39.91071706, 50.21872336, 63.19573445, 79.53282347, 100.10000000
0.00484572, 0.00421973, 0.00368491, 0.00325533, 0.00290628, 0.00261770, 0.00237536, 0.00216797, 0.00198597, 0.00182799, 0.00168973, 0.00156797, 0.00146013, 0.00136398, 0.00127798, 0.00120055, 0.00113063, 0.00106720, 0.00100943, 0.00095670, 0.00090834
0.00480386, 0.00420023, 0.00368959, 0.00327803, 0.00294224, 0.00266354, 0.00242866, 0.00222716, 0.00205018, 0.00189601, 0.00176061, 0.00164098, 0.00153467, 0.00143960, 0.00135432, 0.00127730, 0.00120756, 0.00114411, 0.00108618, 0.00103315, 0.00098440
0.00726831, 0.00643517, 0.00575505, 0.00520004, 0.00474044, 0.00435372, 0.00402364, 0.00373822, 0.00348673, 0.00326500, 0.00306804, 0.00289210, 0.00273414, 0.00259147, 0.00246224, 0.00234448, 0.00223691, 0.00213822, 0.00204736, 0.00196354, 0.00188589
0.00853321, 0.00753525, 0.00671388, 0.00604551, 0.00549390, 0.00503118, 0.00463734, 0.00429738, 0.00399804, 0.00373481, 0.00350156, 0.00329369, 0.00310747, 0.00293963, 0.00278790, 0.00264991, 0.00252407, 0.00240883, 0.00230291, 0.00220534, 0.00211510
0.00639899, 0.00552286, 0.00475944, 0.00415020, 0.00365914, 0.00325624, 0.00292037, 0.00263424, 0.00238359, 0.00216762, 0.00197993, 0.00181578, 0.00167138, 0.00154348, 0.00142983, 0.00132815, 0.00123692, 0.00115465, 0.00108019, 0.00101261, 0.00095100
0.00670569, 0.00583348, 0.00508658, 0.00448719, 0.00400068, 0.00359886, 0.00326175, 0.00297343, 0.00272048, 0.00250114, 0.00230934, 0.00214057, 0.00199123, 0.00185818, 0.00173929, 0.00163232, 0.00153580, 0.00144831, 0.00136868, 0.00129605, 0.00122949
0.00524549, 0.00450682, 0.00385763, 0.00334145, 0.00292716, 0.00258863, 0.00230752, 0.00206870, 0.00185978, 0.00168049, 0.00152528, 0.00139006, 0.00127155, 0.00116698, 0.00107440, 0.00099187, 0.00091809, 0.00085179, 0.00079199, 0.00073792, 0.00068879
0.00718200, 0.00631436, 0.00559097, 0.00500478, 0.00452345, 0.00412159, 0.00378103, 0.00348784, 0.00322991, 0.00300404, 0.00280468, 0.00262766, 0.00246965, 0.00232770, 0.00219980, 0.00208384, 0.00197840, 0.00188212, 0.00179387, 0.00171280, 0.00163800
0.00741012, 0.00649931, 0.00573501, 0.00511720, 0.00461137, 0.00419018, 0.00383412, 0.00352808, 0.00325905, 0.00302400, 0.00281701, 0.00263361, 0.00247023, 0.00232375, 0.00219202, 0.00207280, 0.00196458, 0.00186593, 0.00177565, 0.00169285, 0.00161657
0.00653631, 0.00568405, 0.00495362, 0.00436765, 0.00389219, 0.00349964, 0.00317042, 0.00288890, 0.00264195, 0.00242788, 0.00224075, 0.00207614, 0.00193052, 0.00180083, 0.00168497, 0.00158076, 0.00148675, 0.00140156, 0.00132405, 0.00125336, 0.00118859
0.00492613, 0.00432204, 0.00381446, 0.00340218, 0.00306347, 0.00278055, 0.00254069, 0.00233393, 0.00215159, 0.00199191, 0.00185098, 0.00172586, 0.00161420, 0.00151393, 0.00142361, 0.00134176, 0.00126737, 0.00119948, 0.00113730, 0.00108021, 0.00102758
0.01090602, 0.00957398, 0.00845882, 0.00755654, 0.00681701, 0.00620059, 0.00567902, 0.00523044, 0.00483599, 0.00449106, 0.00418704, 0.00391746, 0.00367712, 0.00346149, 0.00326743, 0.00309167, 0.00293205, 0.00278643, 0.00265310, 0.00253073, 0.00241795
0.00416767, 0.00366210, 0.00323997, 0.00289817, 0.00261776, 0.00238382, 0.00218572, 0.00201528, 0.00186539, 0.00173423, 0.00161855, 0.00151591, 0.00142435, 0.00134216, 0.00126816, 0.00120111, 0.00114018, 0.00108457, 0.00103364, 0.00098688, 0.00094377
0.00809416, 0.00712076, 0.00631067, 0.00565389, 0.00511426, 0.00466344, 0.00428119, 0.00395199, 0.00366237, 0.00340860, 0.00318450, 0.00298543, 0.00280763, 0.00264785, 0.00250382, 0.00237317, 0.00225434, 0.00214577, 0.00204623, 0.00195476, 0.00187033
0.00604516, 0.00525568, 0.00457900, 0.00403687, 0.00359745, 0.00323500, 0.00293130, 0.00267182, 0.00244440, 0.00224740, 0.00207532, 0.00192405, 0.00179031, 0.00167127, 0.00156497, 0.00146940, 0.00138324, 0.00130518, 0.00123418, 0.00116945, 0.00111017
0.00743940, 0.00649591, 0.00569512, 0.00505051, 0.00452533, 0.00409003, 0.00372362, 0.00340956, 0.00313380, 0.00289389, 0.00268343, 0.00249769, 0.00233282, 0.00218553, 0.00205353, 0.00193444, 0.00182671, 0.00172879, 0.00163946, 0.00155776, 0.00148271
