0.01000000, 0.05000000, 0.10000000, 0.15000000, 0.20000000, 0.25000000, 0.30000000, 0.35000000, 0.40000000, 0.45000000, 0.50000000, 0.55000000, 0.60000000, 0.65000000, 0.70000000, 0.75000000, 0.80000000, 0.85000000, 0.90000000, 0.95000000, 1.00000000, 1.05000000, 1.10000000, 1.15000000, 1.20000000, 1.25000000, 1.30000000, 1.35000000, 1.40000000, 1.45000000, 1.50000000, 1.55000000, 1.60000000, 1.65000000, 1.70000000, 1.75000000, 1.80000000, 1.85000000, 1.90000000, 1.95000000, 2.00000000, 2.05000000, 2.10000000, 2.15000000, 2.20000000, 2.25000000, 2.30000000, 2.35000000, 2.40000000, 2.45000000, 2.50000000, 2.55000000, 2.60000000, 2.65000000, 2.70000000, 2.75000000, 2.80000000, 2.85000000, 2.90000000, 2.95000000, 3.00000000, 3.05000000
-0.04706979, -0.04678156, -0.04595598, -0.04459489, -0.04280534, -0.04065385, -0.03823489, -0.03562773, -0.03292096, -0.03019627, -0.02749774, -0.02488880, -0.02240370, -0.02007492, -0.01790787, -0.01591645, -0.01410367, -0.01246593, -0.01099647, -0.00968057, -0.00851169, -0.00747641, -0.00656143, -0.00575551, -0.00504730, -0.00442632, -0.00388669, -0.00340994, -0.00299248, -0.00262749, -0.00230854, -0.00202979, -0.00178619, -0.00157303, -0.00138649, -0.00122600, -0.00108236, -0.00095644, -0.00084597, -0.00074903, -0.00066394, -0.00058916, -0.00052337, -0.00046543, -0.00041433, -0.00037119, -0.00033093, -0.00029536, -0.00026391, -0.00023606, -0.00021134, -0.00018934, -0.00016973, -0.00015220, -0.00013651, -0.00012254, -0.00011128, -0.00009989, -0.00008964, -0.00008041, -0.00007209, -0.00006457
-0.05275443, -0.05240286, -0.05139103, -0.04973868, -0.04757780, -0.04499872, -0.04212052, -0.03904488, -0.03587806, -0.03271676, -0.02961493, -0.02664194, -0.02383545, -0.02122815, -0.01882356, -0.01663300, -0.01465526, -0.01288311, -0.01130521, -0.00990311, -0.00866692, -0.00757945, -0.00662473, -0.00578896, -0.00505890, -0.00442225, -0.00387182, -0.00338783, -0.00296587, -0.00259839, -0.00227850, -0.00199986, -0.00175714, -0.00154529, -0.00136032, -0.00120164, -0.00105985, -0.00093579, -0.00082710, -0.00073188, -0.00064841, -0.00057515, -0.00051076, -0.00045410, -0.00040418, -0.00036213, -0.00032283, -0.00028814, -0.00025749, -0.00023035, -0.00020627, -0.00018483, -0.00016572, -0.00014865, -0.00013336, -0.00011974, -0.00010880, -0.00009768, -0.00008767, -0.00007865, -0.00007051, -0.00006315
-0.08248935, -0.08099158, -0.07799264, -0.07418214, -0.06957660, -0.06436178, -0.05880405, -0.05313596, -0.04756217, -0.04223801, -0.03724304, -0.03265174, -0.02849363, -0.02477741, -0.02147907, -0.01857988, -0.01604857, -0.01385148, -0.01195132, -0.01030974, -0.00889859, -0.00768572, -0.00664346, -0.00574836, -0.00497999, -0.00432045, -0.00375788, -0.00326930, -0.00284785, -0.00248430, -0.00217043, -0.00189894, -0.00166392, -0.00145993, -0.00128262, -0.00113136, -0.00099644, -0.00087877, -0.00077593, -0.00068607, -0.00060749, -0.00053866, -0.00047827, -0.00042522, -0.00037852, -0.00033940, -0.00030268, -0.00027030, -0.00024171, -0.00021640, -0.00019396, -0.00017396, -0.00015612, -0.00014015, -0.00012584, -0.00011310, -0.00010295, -0.00009248, -0.00008305, -0.00007453, -0.00006682, -0.00005983
-0.10886209, -0.09362036, -0.08622198, -0.08123491, -0.07561239, -0.06939802, -0.06290630, -0.05640557, -0.05010497, -0.04417982, -0.03869818, -0.03372380, -0.02926680, -0.02532137, -0.02185145, -0.01882632, -0.01620547, -0.01394362, -0.01199860, -0.01032657, -0.00889549, -0.00767136, -0.00662178, -0.00572238, -0.00495275, -0.00429384, -0.00373235, -0.00324511, -0.00282564, -0.00246387, -0.00215183, -0.00188261, -0.00164894, -0.00144661, -0.00127071, -0.00112064, -0.00098717, -0.00087031, -0.00076855, -0.00067935, -0.00060173, -0.00053346, -0.00047372, -0.00042105, -0.00037488, -0.00033621, -0.00029995, -0.00026774, -0.00023952, -0.00021444, -0.00019234, -0.00017249, -0.00015486, -0.00013895, -0.00012488, -0.00011217, -0.00010221, -0.00009176, -0.00008243, -0.00007394, -0.00006636, -0.00005940
-0.05337383, -0.05301469, -0.05198119, -0.05029517, -0.04809174, -0.04546406, -0.04253408, -0.03940606, -0.03618825, -0.03297898, -0.02983324, -0.02682099, -0.02398017, -0.02134342, -0.01891410, -0.01670281, -0.01470826, -0.01292246, -0.01133364, -0.00992312, -0.00868043, -0.00758799, -0.00662948, -0.00579103, -0.00505900, -0.00442099, -0.00386967, -0.00338510, -0.00296280, -0.00259520, -0.00227530, -0.00199675, -0.00175417, -0.00154249, -0.00135771, -0.00119924, -0.00105765, -0.00093378, -0.00082528, -0.00073023, -0.00064692, -0.00057381, -0.00050956, -0.00045303, -0.00040323, -0.00036128, -0.00032208, -0.00028747, -0.00025689, -0.00022982, -0.00020580, -0.00018442, -0.00016536, -0.00014832, -0.00013306, -0.00011948, -0.00010857, -0.00009747, -0.00008749, -0.00007849, -0.00007037, -0.00006302
-0.02918814, -0.02905451, -0.02868448, -0.02805625, -0.02722239, -0.02619825, -0.02502404, -0.02372159, -0.02233360, -0.02090017, -0.01943356, -0.01797390, -0.01654009, -0.01515655, -0.01382645, -0.01256601, -0.01138333, -0.01028238, -0.00926550, -0.00832719, -0.00747031, -0.00668983, -0.00598142, -0.00534117, -0.00476441, -0.00424647, -0.00378634, -0.00337042, -0.00299864, -0.00266709, -0.00237188, -0.00210924, -0.00187583, -0.00166837, -0.00148405, -0.00132309, -0.00117728, -0.00104789, -0.00093304, -0.00083115, -0.00074079, -0.00066060, -0.00058943, -0.00052622, -0.00047005, -0.00042201, -0.00037724, -0.00033743, -0.00030204, -0.00027054, -0.00024247, -0.00021740, -0.00019499, -0.00017495, -0.00015698, -0.00014093, -0.00012774, -0.00011469, -0.00010295, -0.00009239, -0.00008289, -0.00007431
-0.02316004, -0.02306632, -0.02281163, -0.02237372, -0.02179211, -0.02107210, -0.02024236, -0.01931115, -0.01830978, -0.01726685, -0.01618539, -0.01509747, -0.01401597, -0.01296078, -0.01193266, -0.01094624, -0.01000933, -0.00912632, -0.00830105, -0.00752960, -0.00681679, -0.00615964, -0.00555620, -0.00500453, -0.00450198, -0.00404571, -0.00363634, -0.00326210, -0.00292422, -0.00261995, -0.00234642, -0.00210082, -0.00188061, -0.00168318, -0.00150630, -0.00135060, -0.00120844, -0.00108135, -0.00096772, -0.00086621, -0.00077556, -0.00069460, -0.00062228, -0.00055767, -0.00049993, -0.00045017, -0.00040368, -0.00036215, -0.00032504, -0.00029186, -0.00026217, -0.00023556, -0.00021170, -0.00019028, -0.00017104, -0.00015380, -0.00013946, -0.00012539, -0.00011272, -0.00010131, -0.00009102, -0.00008173
-0.01442562, -0.01437989, -0.01425907, -0.01404673, -0.01376584, -0.01341256, -0.01300418, -0.01253472, -0.01202319, -0.01148453, -0.01091161, -0.01032536, -0.00973068, -0.00914024, -0.00855059, -0.00797266, -0.00741193, -0.00687193, -0.00635682, -0.00586363, -0.00539833, -0.00495976, -0.00454838, -0.00416434, -0.00380721, -0.00347629, -0.00317406, -0.00289154, -0.00263157, -0.00239302, -0.00217458, -0.00197489, -0.00179266, -0.00162646, -0.00147504, -0.00133965, -0.00121390, -0.00109969, -0.00099602, -0.00090201, -0.00081680, -0.00073961, -0.00066968, -0.00060635, -0.00054901, -0.00049878, -0.00045148, -0.00040868, -0.00036999, -0.00033498, -0.00030331, -0.00027463, -0.00024866, -0.00022513, -0.00020380, -0.00018450, -0.00016808, -0.00015211, -0.00013762, -0.00012449, -0.00011257, -0.00010175
-0.03324222, -0.03307843, -0.03262050, -0.03184860, -0.03082536, -0.02957473, -0.02814649, -0.02657339, -0.02490692, -0.02319581, -0.02145908, -0.01974248, -0.01806882, -0.01646514, -0.01493589, -0.01349765, -0.01215831, -0.01092083, -0.00978616, -0.00874719, -0.00780506, -0.00695309, -0.00618517, -0.00549580, -0.00487890, -0.00432842, -0.00384227, -0.00340561, -0.00301753, -0.00267337, -0.00236857, -0.00209879, -0.00186024, -0.00164918, -0.00146251, -0.00130023, -0.00115380, -0.00102438, -0.00090992, -0.00080875, -0.00071934, -0.00064025, -0.00057026, -0.00050828, -0.00045337, -0.00040659, -0.00036300, -0.00032435, -0.00029006, -0.00025959, -0.00023248, -0.00020832, -0.00018674, -0.00016746, -0.00015019, -0.00013479, -0.00012221, -0.00010968, -0.00009842, -0.00008830, -0.00007918, -0.00007096
-0.03194014, -0.03178633, -0.03135755, -0.03063318, -0.02967248, -0.02849648, -0.02715171, -0.02566729, -0.02409177, -0.02247102, -0.02082186, -0.01918823, -0.01759172, -0.01605855, -0.01459281, -0.01321100, -0.01192118, -0.01072663, -0.00962882, -0.00862119, -0.00770544, -0.00687547, -0.00612576, -0.00545132, -0.00484654, -0.00430580, -0.00382738, -0.00339683, -0.00301349, -0.00267297, -0.00237088, -0.00210308, -0.00186593, -0.00165580, -0.00146971, -0.00130772, -0.00116136, -0.00103186, -0.00091720, -0.00081575, -0.00072599, -0.00064652, -0.00057613, -0.00051375, -0.00045843, -0.00041124, -0.00036728, -0.00032827, -0.00029364, -0.00026285, -0.00023545, -0.00021100, -0.00018918, -0.00016966, -0.00015218, -0.00013659, -0.00012382, -0.00011114, -0.00009974, -0.00008949, -0.00008025, -0.00007193
-0.01893421, -0.01887791, -0.01872253, -0.01845301, -0.01809724, -0.01764636, -0.01712669, -0.01652679, -0.01587337, -0.01518431, -0.01444996, -0.01369670, -0.01293195, -0.01217145, -0.01140989, -0.01066202, -0.00993485, -0.00923301, -0.00856253, -0.00791863, -0.00730992, -0.00673439, -0.00619342, -0.00568720, -0.00521528, -0.00477688, -0.00437568, -0.00399927, -0.00365204, -0.00333260, -0.00303926, -0.00277031, -0.00252414, -0.00229899, -0.00209328, -0.00190894, -0.00173701, -0.00158036, -0.00143772, -0.00130794, -0.00118991, -0.00108259, -0.00098503, -0.00089636, -0.00081577, -0.00074494, -0.00067796, -0.00061713, -0.00056189, -0.00051171, -0.00046610, -0.00042463, -0.00038692, -0.00035261, -0.00032138, -0.00029299, -0.00026865, -0.00024493, -0.00022332, -0.00020363, -0.00018568, -0.00016931
-0.09163250, -0.09089226, -0.08873950, -0.08533931, -0.08096875, -0.07584782, -0.07023563, -0.06435526, -0.05842001, -0.05260471, -0.04701885, -0.04176795, -0.03691012, -0.03248056, -0.02847313, -0.02488680, -0.02170423, -0.01889910, -0.01644080, -0.01428919, -0.01241750, -0.01079161, -0.00938158, -0.00816069, -0.00710468, -0.00619196, -0.00540918, -0.00472563, -0.00413342, -0.00362062, -0.00317623, -0.00279058, -0.00245555, -0.00216392, -0.00190988, -0.00169247, -0.00149803, -0.00132788, -0.00117879, -0.00104812, -0.00093341, -0.00083255, -0.00074374, -0.00066539, -0.00059613, -0.00053775, -0.00048287, -0.00043421, -0.00039102, -0.00035261, -0.00031832, -0.00028762, -0.00026012, -0.00023542, -0.00021320, -0.00019327, -0.00017712, -0.00016062, -0.00014568, -0.00013213, -0.00011983, -0.00010865
-0.05584886, -0.05554556, -0.05466537, -0.05320956, -0.05128644, -0.04895120, -0.04630597, -0.04342492, -0.04040683, -0.03733814, -0.03426607, -0.03126342, -0.02837395, -0.02563729, -0.02306197, -0.02066966, -0.01846873, -0.01645942, -0.01463844, -0.01299040, -0.01151226, -0.01018941, -0.00900965, -0.00796103, -0.00703147, -0.00620937, -0.00548928, -0.00484763, -0.00428174, -0.00378352, -0.00334508, -0.00295932, -0.00261999, -0.00232127, -0.00205838, -0.00183094, -0.00162623, -0.00144581, -0.00128667, -0.00114632, -0.00102247, -0.00091305, -0.00081627, -0.00073060, -0.00065465, -0.00059009, -0.00052971, -0.00047606, -0.00042837, -0.00038589, -0.00034797, -0.00031405, -0.00028367, -0.00025641, -0.00023191, -0.00020996, -0.00019195, -0.00017389, -0.00015757, -0.00014281, -0.00012945, -0.00011734
-0.01473324, -0.01469514, -0.01458936, -0.01440503, -0.01416297, -0.01385270, -0.01349658, -0.01307925, -0.01262283, -0.01214047, -0.01161941, -0.01108133, -0.01053038, -0.00997898, -0.00942000, -0.00886596, -0.00832217, -0.00779222, -0.00728158, -0.00678540, -0.00631200, -0.00585966, -0.00543029, -0.00502457, -0.00464265, -0.00428445, -0.00395411, -0.00364062, -0.00334880, -0.00307790, -0.00282692, -0.00259480, -0.00238052, -0.00218288, -0.00200082, -0.00183651, -0.00168186, -0.00153986, -0.00140956, -0.00129011, -0.00118067, -0.00108045, -0.00098869, -0.00090470, -0.00082785, -0.00075983, -0.00069513, -0.00063599, -0.00058194, -0.00053254, -0.00048737, -0.00044606, -0.00040829, -0.00037374, -0.00034212, -0.00031322, -0.00028819, -0.00026382, -0.00024151, -0.00022109, -0.00020240, -0.00018528
-0.02022887, -0.02016655, -0.01999439, -0.01969637, -0.01930254, -0.01880477, -0.01823075, -0.01757056, -0.01685242, -0.01609584, -0.01529236, -0.01446984, -0.01363681, -0.01281003, -0.01198483, -0.01117659, -0.01039282, -0.00963839, -0.00891946, -0.00823122, -0.00758228, -0.00697050, -0.00639700, -0.00586180, -0.00536419, -0.00490313, -0.00448213, -0.00408834, -0.00372598, -0.00339344, -0.00308880, -0.00281016, -0.00255571, -0.00232351, -0.00211183, -0.00192252, -0.00174638, -0.00158624, -0.00144070, -0.00130856, -0.00118862, -0.00107978, -0.00098102, -0.00089142, -0.00081014, -0.00073885, -0.00067153, -0.00061049, -0.00055515, -0.00050496, -0.00045941, -0.00041806, -0.00038052, -0.00034640, -0.00031539, -0.00028724, -0.00026317, -0.00023970, -0.00021835, -0.00019891, -0.00018121, -0.00016509
